,Active Humans,Active Bots,Deactivated Humans,Deactivated Bots,Average Human Satisfaction
0,100,20,0,0,99.96788405958898
1,100,14,0,6,99.93637488529438
2,100,14,0,6,99.84075156555515
3,100,14,0,6,99.74064027473523
4,100,14,0,6,99.59028645870085
5,100,13,0,7,99.78823690989216
6,100,13,0,7,99.72661565544534
7,100,13,0,7,99.73022032347124
8,100,13,0,7,99.74431427083086
9,100,11,0,9,99.85853878753352
10,100,10,0,10,99.96666904489764
11,100,8,0,12,99.8866409375083
12,100,8,0,12,99.9766446220366
13,100,8,0,12,99.98293052148496
14,100,7,0,13,99.90251559580697
15,101,5,0,15,99.88691083418448
16,101,4,0,16,99.97052873502254
17,101,4,0,16,99.98869521442928
18,101,4,0,16,99.98277095767476
19,101,4,0,16,99.94129047343003
20,101,4,0,16,99.97812639037654
21,101,4,0,16,99.99329843441295
22,101,4,0,16,99.99621805450539
23,101,4,0,16,99.99075657684922
24,101,3,0,17,99.9602358622561
25,101,3,0,17,99.96692425162777
26,101,3,0,17,99.97214271898
27,101,3,0,17,99.97163460473915
28,101,3,0,17,99.98824142836538
29,101,2,0,18,99.99421570032888
30,101,2,0,18,99.99612095685877
31,101,2,0,18,99.9994094289431
32,101,2,0,18,99.99791168027507
33,101,2,0,18,99.99784078186262
34,101,3,0,18,100.0
35,101,3,0,18,99.9994535943842
36,101,3,0,18,99.99883225132848
37,101,3,0,18,100.0
38,101,3,0,18,99.90082064781387
39,101,3,0,18,99.92212968266713
40,101,3,0,18,99.99424763169485
41,102,3,0,18,99.99854211345355
42,102,3,0,18,99.99989035489493
43,102,3,0,18,99.94583766958135
44,102,3,0,18,99.91167746903477
45,102,3,0,18,99.94394080952206
46,102,3,0,18,99.98309683441421
47,102,3,0,18,99.95852348160138
48,102,3,0,18,99.97163823484402
49,102,3,0,18,99.9411179766211
50,102,3,0,18,99.98048911298578
51,102,4,0,18,99.96795098327281
52,102,4,0,18,99.9692614157039
53,102,4,0,18,99.99324994306187
54,102,5,0,18,99.95569297640904
55,102,5,0,18,99.96955374960478
56,103,6,0,18,99.99628988108566
57,103,5,0,19,99.96378566439064
58,103,6,0,19,99.89314937903684
59,103,6,0,19,99.95926430975298
60,103,6,0,19,99.98830722073806
61,103,6,0,19,99.91876157507103
62,103,6,0,19,99.98475700149851
63,103,6,0,19,99.83078672846021
64,104,6,0,19,99.91631304951612
65,104,5,0,20,99.92397276935897
66,104,5,0,20,99.94696919343065
67,104,5,0,20,99.92980821558824
68,104,5,0,20,99.91520891741607
69,105,5,0,20,99.88447844280579
70,105,5,0,20,99.9263706986672
71,105,5,0,20,99.97011123298527
72,105,4,0,21,99.98379160409554
73,105,4,0,21,99.87202289775705
74,105,4,0,21,99.94355183473463
75,105,4,0,21,99.91247037084412
76,105,4,0,21,99.91514722551221
77,105,4,0,21,99.91083482550926
78,106,4,0,21,99.93315906570713
79,106,4,0,22,99.9646692980612
80,106,4,0,22,99.98976265662725
81,106,4,0,22,99.99650260319366
82,106,4,0,22,99.85492318260994
83,107,4,0,22,99.83915988017414
84,107,4,0,22,99.91285020281596
85,107,4,0,22,99.94204620980592
86,107,4,0,22,99.98276398929568
87,107,4,0,22,99.97736298055663
88,107,3,0,23,99.85718669343346
89,107,3,0,23,99.95772836696311
90,107,3,0,23,99.88542957663915
91,107,2,0,24,99.98821216857806
92,107,2,0,24,100.0
93,107,2,0,24,99.99258637427349
94,107,2,0,24,100.0
95,107,1,0,25,100.0
96,107,1,0,25,99.9518429449461
97,108,1,0,25,99.97408539820455
98,108,1,0,25,99.99460386100247
99,108,1,0,25,100.0
100,108,1,0,25,99.97667772799436
101,108,1,0,25,99.98186157021482
102,109,1,0,25,99.97772573244652
103,109,1,0,25,99.95122738744386
104,109,1,0,25,99.97289990719516
105,109,1,0,25,99.94415665630775
106,109,1,0,25,99.98421179853553
107,109,1,0,25,99.98823829872354
108,109,1,0,25,99.99469327817943
109,109,1,0,25,99.99061861386134
110,109,1,0,25,99.94223872877741
111,110,1,0,25,99.96833227913622
112,110,1,0,25,99.95320772767555
113,110,1,0,25,100.0
114,110,1,0,25,99.99808909453868
115,110,1,0,25,99.99908822041792
116,111,1,0,25,99.98962852542942
117,111,1,0,25,99.95532941585202
118,111,1,0,25,99.91875380747244
119,111,0,0,26,99.9711332048462
120,111,0,0,26,100.0
121,112,0,0,26,100.0
122,113,0,0,26,100.0
123,113,0,0,26,99.99764018442096
124,113,0,0,26,100.0
125,113,0,0,26,99.99907311916989
126,113,0,0,26,100.0
127,113,0,0,26,99.99800349900788
128,113,0,0,26,100.0
129,113,0,0,26,100.0
130,113,0,0,26,100.0
131,113,0,0,26,100.0
132,113,0,0,26,99.99897254607669
133,113,0,0,26,99.99792311101238
134,113,0,0,26,99.9953908534912
135,114,0,0,26,99.99911406729763
136,114,0,0,26,99.99729905094956
137,114,0,0,26,99.99990142956648
138,114,0,0,26,99.99447198327304
139,114,0,0,26,99.9982332263965
140,114,0,0,26,99.9984266365558
141,114,0,0,26,100.0
142,114,0,0,26,99.9962318040333
143,114,0,0,26,99.99330561567164
144,114,0,0,26,100.0
145,114,0,0,26,99.99969965760451
146,114,0,0,26,99.99611616056492
147,114,0,0,26,99.99621617763428
148,114,0,0,26,99.99254706696267
149,114,0,0,26,99.99900135277092
150,114,0,0,26,100.0
151,114,0,0,26,100.0
152,115,0,0,26,99.99755736150267
153,116,0,0,26,99.99503424506158
154,116,0,0,26,100.0
155,116,0,0,26,100.0
156,116,0,0,26,99.99636258855293
157,116,0,0,26,99.99828981973769
158,116,0,0,26,100.0
159,116,0,0,26,100.0
160,116,0,0,26,99.99985143132145
161,116,0,0,26,99.9969908494935
162,116,1,0,26,100.0
163,116,0,0,27,99.99838456117153
164,116,1,0,27,99.99382332615436
165,116,1,0,27,99.99738761382905
166,117,1,0,27,99.99865295221574
167,117,1,0,27,99.99702145589373
168,117,1,0,27,99.99879073902754
169,117,1,0,27,99.98955561690002
170,117,1,0,27,99.997416089135
171,117,1,0,27,99.99685236356004
172,117,1,0,27,100.0
173,117,1,0,27,99.99980409212466
174,117,1,0,27,99.99307820241854
175,117,1,0,27,99.9960866691867
176,117,1,0,27,99.99663582213266
177,117,1,0,27,99.99627712675124
178,117,1,0,27,99.99956256811726
179,117,1,0,27,99.99580937653448
180,117,1,0,27,100.0
181,117,1,0,27,99.99516281228075
182,117,1,0,27,100.0
183,118,1,0,27,99.99777355165226
184,118,1,0,27,100.0
185,118,1,0,27,99.97687060655187
186,118,1,0,27,99.99514242970028
187,118,1,0,27,99.99594631511494
188,118,1,0,27,99.99993539292075
189,118,0,0,28,99.9946457383985
190,118,1,0,28,99.99922189622416
191,118,1,0,28,100.0
192,118,1,0,28,99.99566658350844
193,118,1,0,28,99.99956552782334
194,118,1,0,28,99.99966891765482
195,118,0,0,29,99.99695601554407
196,118,0,0,29,99.99540036485654
197,118,0,0,29,99.99746508610507
198,118,0,0,29,99.99325188357066
199,118,0,0,29,99.99603399712773
200,118,0,0,29,99.9961432145998
201,118,1,0,29,100.0
202,118,1,0,29,99.99264048636554
203,118,1,0,29,99.9974051321268
204,118,1,0,29,99.9964087034015
205,118,2,0,29,99.99708602847781
206,118,3,0,29,99.98477488943139
207,119,3,0,29,99.96537105061184
208,119,3,0,29,99.97611899993208
209,119,4,0,29,99.97576672941618
210,119,4,0,29,99.94166273233184
211,119,6,0,29,99.94398954886145
212,119,6,0,29,99.81830917864082
213,119,6,0,29,99.88929467493465
214,119,6,0,29,99.72254781635283
215,119,6,0,29,99.92208047633567
216,119,6,0,29,99.9750924925825
217,119,6,0,29,99.99797226282944
218,119,6,0,29,99.97673542384446
219,119,6,0,29,99.98928336988727
220,119,6,0,29,99.97786658831738
221,119,6,0,29,99.97935340139657
222,119,5,0,30,99.90179376809142
223,119,4,0,31,99.90074768435065
224,119,4,0,31,99.971683681167
225,119,4,0,31,99.92599816225041
226,119,4,0,31,99.97271076513185
227,119,4,0,31,99.96815516804818
228,119,4,0,31,99.9953894298903
229,119,3,0,32,100.0
230,119,3,0,32,99.98542635729837
231,119,5,0,32,99.99156160580552
232,119,5,0,32,99.97875210734624
233,119,5,0,32,99.91269675847512
234,119,5,0,32,99.89912886976904
235,119,6,0,32,99.98800165387158
236,119,6,0,32,99.99664515097052
237,119,6,0,32,99.96152633716295
238,119,6,0,32,99.94957851824323
239,119,5,0,33,99.99241642017044
240,119,5,0,33,99.99031365536702
241,119,5,0,33,99.95587206528862
242,119,4,0,34,99.98589589533171
243,119,4,0,34,99.97670563092922
244,119,3,0,35,99.96564341784591
245,119,3,0,35,99.94335309251703
246,119,4,0,35,99.93194613633784
247,119,3,0,36,99.95494027366735
248,119,2,0,37,99.92750230151614
249,119,2,0,37,99.94721531469739
250,119,2,0,37,99.99822659457617
251,119,2,0,37,100.0
252,119,2,0,37,99.98534196941159
253,119,2,0,37,99.97383366301564
254,119,2,0,37,99.94897713226531
255,119,2,0,37,99.85255337364953
256,119,2,0,37,99.9330775337094
257,119,3,0,37,99.99668965627008
258,119,3,0,37,99.99860260245083
259,119,3,0,37,99.99199142087338
260,119,2,0,38,99.96985239943076
261,119,2,0,38,99.99994657220627
262,119,2,0,38,99.99669216407928
263,119,2,0,38,99.9826837384705
264,119,2,0,38,99.94347086484935
265,119,2,0,38,99.95995321609237
266,119,2,0,38,99.97489548586903
267,119,2,0,38,99.95709454873644
268,119,1,0,39,99.9716954948467
269,119,1,0,39,99.99243086170506
270,119,1,0,39,100.0
271,119,1,0,39,100.0
272,119,1,0,39,100.0
273,119,1,0,39,99.99841163468876
274,120,1,0,39,100.0
275,120,1,0,39,99.96229306081796
276,120,2,0,39,99.98841819939753
277,120,2,0,39,99.99773704424958
278,121,2,0,39,100.0
279,121,2,0,39,99.99976627938804
280,122,2,0,39,99.99428705571167
281,122,2,0,39,99.98714793792897
282,122,2,0,39,100.0
283,122,2,0,39,100.0
284,122,1,0,40,99.99288655166154
285,122,1,0,40,99.98547297238298
286,122,1,0,40,99.99865805055192
287,122,1,0,40,99.9991064146499
288,122,1,0,40,100.0
289,122,1,0,40,100.0
290,122,2,0,40,100.0
291,122,2,0,40,100.0
292,122,2,0,40,99.99290303739365
293,122,2,0,40,99.94330141576776
294,122,2,0,40,99.97861756768206
295,122,2,0,40,99.994920862691
296,122,2,0,40,99.97953519963937
297,122,2,0,40,99.94764596470839
298,122,2,0,40,99.9962528898696
299,122,2,0,40,99.97792571073018
300,122,2,0,40,99.98542084155766
301,122,2,0,40,99.9973346677983
302,122,2,0,40,100.0
303,122,2,0,40,100.0
304,122,1,0,41,99.99883181628874
305,122,1,0,41,100.0
306,122,1,0,41,99.99951384311446
307,122,1,0,41,100.0
308,122,1,0,41,99.98965264342925
309,122,1,0,41,99.98857156499864
310,122,1,0,41,99.99697350195743
311,122,1,0,41,99.99879798656092
312,122,1,0,41,99.99998365208079
313,122,1,0,41,100.0
314,122,1,0,41,99.99907361359972
315,122,1,0,41,99.99983947655547
316,123,1,0,41,99.9987191050354
317,123,1,0,41,99.99413738335967
318,123,1,0,41,99.95395580688293
319,123,1,0,41,99.97431585948674
320,123,1,0,41,99.99878098755732
321,123,1,0,41,99.99845107722913
322,123,1,0,41,99.9996423050439
323,123,1,0,41,99.99845627933146
324,123,1,0,41,100.0
325,123,1,0,41,99.99835068662689
326,123,0,0,42,99.99856582334957
327,123,1,0,42,99.99704061593289
328,123,1,0,42,99.9921078162992
329,123,1,0,42,99.99534384785245
330,124,1,0,42,99.99653173574865
331,124,1,0,42,99.99145499703728
332,124,1,0,42,99.99727245344812
333,124,1,0,42,99.9811595836264
334,124,1,0,42,99.98844043998821
335,124,1,0,42,100.0
336,124,1,0,42,99.95469899639755
337,124,0,0,43,99.99822308918337
338,124,0,0,43,99.9994141720044
339,124,0,0,43,99.998084262775
340,124,0,0,43,100.0
341,124,0,0,43,100.0
342,124,0,0,43,99.99716222926602
343,124,0,0,43,100.0
344,124,0,0,43,99.99782474404498
345,124,0,0,43,99.99907725012058
346,124,1,0,43,100.0
347,124,1,0,43,99.99879079996329
348,124,1,0,43,99.99522446731406
349,124,0,0,44,99.99636836237599
350,124,0,0,44,99.99793948654164
351,124,0,0,44,100.0
352,124,0,0,44,99.99488736423021
353,124,1,0,44,99.99618665976783
354,124,1,0,44,99.99866408489885
355,124,1,0,44,99.9957383927139
356,124,1,0,44,99.99508801262954
357,124,0,0,45,100.0
358,124,0,0,45,99.99561738270428
359,124,0,0,45,99.98860669406238
360,124,0,0,45,99.99825961709762
361,124,0,0,45,99.99737066241426
362,124,1,0,45,99.99702223137335
363,124,1,0,45,100.0
364,124,1,0,45,100.0
